 Dato;Sykkel;Timer
 2022-06-14;B-02;4.0
 2022-06-14;B-01;4.5
 2022-06-14;B-04;4.0
 2022-06-14;B-02;5.0
 2022-06-14;B-06;5.0
 2022-06-14;B-08;2.0
 2022-06-14;B-10;3.5
 2022-06-14;B-07;3.0
 2022-06-14;B-10;4.0
 2022-06-14;B-01;2.0
 2022-06-14;B-07;4.0
 2022-06-14;B-01;5.0
 2022-06-15;B-08;3.5
 2022-06-15;B-09;2.0
 2022-06-15;B-07;4.0
 2022-06-15;B-04;5.5
 2022-06-15;B-07;4.5
 2022-06-15;B-03;4.0
 2022-06-16;B-06;4.0
 2022-06-16;B-02;4.0
 2022-06-16;B-09;2.0
 2022-06-16;B-04;5.5
 2022-06-16;B-08;2.5
 2022-06-16;B-01;2.0
 2022-06-16;B-07;2.0
 2022-06-16;B-07;4.0
 2022-06-17;B-08;5.0
 2022-06-17;B-04;2.5
 2022-06-17;B-08;5.0
 2022-06-17;B-09;4.5
 2022-06-17;B-06;2.5
 2022-06-17;B-08;2.0
 2022-06-17;B-02;2.0
 2022-06-18;B-06;4.5
 2022-06-18;B-10;4.5
 2022-06-18;B-02;2.0
 2022-06-18;B-07;2.5
 2022-06-18;B-02;4.5
 2022-06-18;B-06;2.0
 2022-06-18;B-08;4.0
 2022-06-18;B-04;2.0
 2022-06-18;B-06;3.0
 2022-06-19;B-05;3.5
 2022-06-19;B-06;5.0
 2022-06-19;B-06;2.0
 2022-06-19;B-01;4.0
 2022-06-19;B-01;4.0
 2022-06-19;B-02;4.5
 2022-06-19;B-10;3.0
 2022-06-19;B-09;5.5
 2022-06-19;B-05;2.5
 2022-06-19;B-08;3.5
 2022-06-19;B-03;2.0
 2022-06-19;B-06;2.0
 2022-06-19;B-04;5.5
 2022-06-19;B-05;4.0
 2022-06-20;B-03;4.0
 2022-06-20;B-02;4.5
 2022-06-20;B-01;3.5
 2022-06-20;B-09;5.0
 2022-06-20;B-08;5.5
 2022-06-20;B-08;4.5
 2022-06-20;B-01;5.0
 2022-06-20;B-02;3.0
 2022-06-20;B-05;3.5
 2022-06-20;B-01;5.0
 2022-06-20;B-01;4.5
 2022-06-20;B-02;5.0
 2022-06-20;B-04;2.5
 2022-06-20;B-02;3.0
 2022-06-20;B-07;4.0
 2022-06-21;B-02;2.0
 2022-06-21;B-02;5.0
 2022-06-21;B-03;3.5
 2022-06-21;B-02;5.5
 2022-06-21;B-04;2.0
 2022-06-21;B-08;3.0
 2022-06-21;B-08;2.0
 2022-06-21;B-09;5.0
 2022-06-21;B-05;3.5
 2022-06-21;B-07;5.0
 2022-06-21;B-08;3.0
 2022-06-21;B-07;5.5
 2022-06-21;B-07;5.0
 2022-06-22;B-01;4.0
 2022-06-22;B-07;2.5
 2022-06-22;B-10;3.0
 2022-06-22;B-01;3.5
 2022-06-22;B-09;2.0
 2022-06-22;B-07;4.0
 2022-06-23;B-06;2.0
 2022-06-23;B-08;5.0
 2022-06-23;B-09;5.5
 2022-06-23;B-08;2.5
 2022-06-23;B-01;4.5
 2022-06-23;B-03;2.5
 2022-06-23;B-09;4.0
 2022-06-23;B-05;5.5
 2022-06-24;B-02;2.5
 2022-06-24;B-10;3.0
 2022-06-24;B-09;2.5
 2022-06-24;B-09;5.0
 2022-06-24;B-07;3.5
 2022-06-24;B-01;4.0
 2022-06-24;B-08;2.5
 2022-06-25;B-03;5.5
 2022-06-25;B-06;5.0
 2022-06-25;B-01;5.0
 2022-06-25;B-01;3.5
 2022-06-25;B-06;2.0
 2022-06-25;B-02;5.5
 2022-06-25;B-08;3.5
 2022-06-25;B-04;4.5
 2022-06-25;B-01;3.0
 2022-06-26;B-02;5.5
 2022-06-26;B-01;4.0
 2022-06-26;B-05;5.0
 2022-06-26;B-03;4.5
 2022-06-26;B-08;2.0
 2022-06-26;B-10;3.0
 2022-06-26;B-09;3.5
 2022-06-26;B-09;2.0
 2022-06-26;B-08;5.0
 2022-06-26;B-09;2.0
 2022-06-26;B-01;3.0
 2022-06-26;B-09;5.0
 2022-06-26;B-03;5.0
 2022-06-26;B-07;2.5
 2022-06-27;B-03;4.0
 2022-06-27;B-08;2.5
 2022-06-27;B-05;2.5
 2022-06-27;B-01;2.5
 2022-06-27;B-01;5.0
 2022-06-27;B-10;3.0
 2022-06-27;B-03;5.0
 2022-06-27;B-03;4.5
 2022-06-27;B-01;4.0
 2022-06-27;B-05;4.0
 2022-06-27;B-01;4.0
 2022-06-27;B-10;4.5
 2022-06-27;B-05;4.0
 2022-06-27;B-01;4.0
 2022-06-27;B-09;4.0
 2022-06-28;B-10;2.5
 2022-06-28;B-02;2.0
 2022-06-28;B-03;3.5
 2022-06-28;B-08;4.0
 2022-06-28;B-02;3.5
 2022-06-28;B-05;4.0
 2022-06-28;B-02;2.5
 2022-06-28;B-02;3.5
 2022-06-28;B-04;3.5
 2022-06-28;B-04;3.0
 2022-06-28;B-08;5.0
 2022-06-28;B-08;5.0
 2022-06-28;B-06;2.0
 2022-06-29;B-09;5.0
 2022-06-29;B-03;4.0
 2022-06-29;B-03;4.0
 2022-06-29;B-08;2.5
 2022-06-29;B-09;2.5
 2022-06-29;B-06;3.0
 2022-06-30;B-04;3.5
 2022-06-30;B-02;5.0
 2022-06-30;B-09;5.0
 2022-06-30;B-02;2.5
 2022-06-30;B-10;3.0
 2022-06-30;B-02;2.5
 2022-06-30;B-08;5.5
 2022-06-30;B-05;3.5
